"node","_Intercept__estimate","_Intercept__p_value","neural_shift_estimate","neural_shift_p_value","poly_semantic_distance_3_1_estimate","poly_semantic_distance_3_1_p_value","poly_semantic_distance_3_2_estimate","poly_semantic_distance_3_2_p_value","poly_semantic_distance_3_3_estimate","poly_semantic_distance_3_3_p_value","neural_shift_poly_semantic_distance_3_1_estimate","neural_shift_poly_semantic_distance_3_1_p_value","neural_shift_poly_semantic_distance_3_2_estimate","neural_shift_poly_semantic_distance_3_2_p_value","neural_shift_poly_semantic_distance_3_3_estimate","neural_shift_poly_semantic_distance_3_3_p_value"
75,0.549691690839266,2.49440670471387e-56,-0.0011856061455648,0.935930442804676,-1.48413452938621,0.0200818809314094,-0.348279631770191,0.578585887390828,0.657383884801282,0.311806418523638,0.0153087418842491,0.979379641250885,0.968632717239562,0.101888380458701,-0.648771498464041,0.28091113406084
76,0.554858692013359,7.79684307607612e-60,-0.00637773127011664,0.749513419475338,-1.49012824070675,0.0745613418879103,0.545511783398108,0.515819885435228,0.409587655121674,0.634978899010961,0.0179128391444557,0.982342641997694,0.0280831785215589,0.97275323791033,-0.417866984827416,0.620308732524547
77,0.530058077614505,5.20246506899328e-57,0.0191890902434758,0.294095647844895,-2.70997588817987,0.000673245989157621,-0.186287093287375,0.811270702511961,0.814656035418523,0.319198745247798,1.24186704950425,0.100095760292681,0.799001794044811,0.29181881211914,-0.82448861587325,0.287764029866899
78,0.533603791942044,5.47834130972003e-56,0.0157335160003197,0.331748330557076,-1.89402053312687,0.00630013891055789,0.264755282890102,0.700119290181145,0.0982738767873406,0.887801364638854,0.439170217148179,0.509176064129441,0.33563518159618,0.618458181318787,-0.0916711123162509,0.892112564107002
79,0.546857916019055,1.2747123113789e-48,0.00211052840990121,0.937175765262973,-2.43516288877523,0.0461921008464174,1.81590648994011,0.133035682961312,2.69203324630949,0.0317085256028527,0.905543605103324,0.404059166257117,-1.15858380602773,0.279962898163249,-2.44870707902973,0.0262802592293034
80,0.610607426587453,2.19272886905381e-53,-0.0592123188285799,0.0511656299972811,-2.10889639911349,0.108574253071799,2.54241149284806,0.0555530797232292,1.01792254500638,0.473901140042109,0.605498331796922,0.619635350724609,-1.88742718646469,0.128969503057293,-0.952657759857846,0.465695977958834
81,0.533728869503395,1.07006331117281e-54,0.0155466865062314,0.279544620168422,-2.09216104339358,0.00101281368214362,0.358712137523715,0.551205273665615,0.672244448965961,0.261435121910393,0.630814405188045,0.280145993187392,0.235047496969244,0.677897665995375,-0.666084779828074,0.217182821167276
82,0.539646141048956,6.09998306733822e-55,0.0101802377558259,0.459654877494426,-2.34169583244032,0.000121048406725387,0.960733792413791,0.10391388630086,0.740240671363319,0.213114770719291,0.932441721428317,0.0884239565570502,-0.376998408295072,0.476770348766574,-0.695702021321644,0.153751235525844
83,0.533319287910313,8.45664758380325e-57,0.0147147055823846,0.44124648447466,-3.36790373367402,0.000105734794926048,0.919993842677372,0.293971290771987,0.457901361076154,0.609806921885377,1.80645321292766,0.0189027986309591,-0.329979821132301,0.672923824547804,-0.423022523395828,0.583119081487008
84,0.53699138865181,9.85238558510788e-57,0.012126673253688,0.449973146282058,-2.42091636239276,0.000628240989654419,0.763204915506676,0.278390071531707,0.112786037595869,0.877346508936047,0.961113407392891,0.13441097901561,-0.192277993494765,0.765399860122938,-0.122616759694762,0.848924022150948
